datetime,temp,humidity,precip,preciptype,sealevelpressure
20161104,55.8,60.8,0.02,rain,1021.8
20161105,45.3,64.8,0,,1026.5
20161106,45,62.9,0,,1026.5
20161107,44.7,65.9,0,,1027.2
20161108,46.4,63.3,0,,1024.1
20161109,46.3,65.1,0,,1019.6
20161110,45.2,52.1,0,,1022.8
20161111,47.8,49.5,0,,1018.7
20161112,37.6,74.5,0,,1024.2
20161113,37.8,65.2,0,,1023.4
20161114,43.9,57.1,0,,1017.7
20161115,42.8,64.6,0,,1014.6
20161116,48.5,61.3,0,,1014.4
20161117,51.3,53.6,0,,1019.3
20161118,50.2,60,0,,1020.6
20161119,37.9,73,0,,1018.9
20161120,31.9,50.5,0,,1022
20161121,32.2,42.8,0,,1022.5
20161122,37.2,37.6,0,,1025.3
20161123,40.7,49,0,,1022.4
20161124,50.6,80.2,0.02,rain,1021.6
20161125,46.7,81.1,0,,1022.4
20161126,37.7,69.9,0,,1025.8
20161127,36.7,55.6,0,,1023.1
20161128,42.1,63,0.01,rain,1013.7
20161129,54.5,88.8,1.6,rain,1008.3
20161130,56.8,91.8,1.06,rain,1006.1
20161201,40.7,67.1,0.01,rain,1013.5
20161202,37.2,62,0,,1021.6
20161203,35.6,68.5,0,,1025.2
20161204,37.5,92.9,0.55,"rain,snow",1019
20161205,45.7,90,0.12,rain,1015
20161206,41.3,97.4,0.52,rain,1008.2
20161207,43.5,72.8,0,,1016.7
20161208,34.4,58,0,,1022
20161209,22.6,63,0,,1030.8
20161210,23.5,56.9,0,,1033
20161211,32.6,58.9,0,,1024.7
20161212,45.5,85.4,0.23,rain,1016.1
20161213,39.3,90.5,0.01,rain,1017
20161214,36.3,81.1,0,,1018.9
20161215,23.6,49.3,0,,1024.4
20161216,20.6,46.9,0,,1024.4
20161217,48,77.7,0,,1013.9
20161218,46.1,94.9,0.1,rain,1018.6
20161219,33.1,87.3,0,,1034.3
20161220,33.6,71.4,0,,1030.3
20161221,40.6,31.4,0,,1025
20161222,43.2,46.9,0,,1022.8
20161223,39.1,50.3,0,,1026.8
20161224,49.7,87.2,0.19,rain,1023.5
20161225,50.5,98.7,0.07,rain,1027.3
20161226,48.7,94.8,0.01,rain,1027.3
20161227,49.8,92.2,0.13,rain,1020.4
20161228,41,62.3,0,,1022.3
20161229,41.6,59.5,0.18,rain,1013.7
20161230,30.1,56.9,0.01,"rain,snow",
20161231,31.6,57.8,0,,1016.6
20170101,43.1,84.2,0,,1018.6
20170102,46.2,96.8,0.39,rain,1018.2
20170103,49.3,93.6,0.22,rain,1007
20170104,40.5,69.4,0.02,rain,1008
20170105,30.5,54.2,0,,
20170106,26.7,84.9,0.03,snow,1019.5
20170107,16.5,76.6,0.11,snow,1027.2
20170108,10.3,64.9,0,,1038.3
20170109,19,58.8,0,,1035.7
20170110,31.8,55.3,0,,1025.5
20170111,44.3,89.3,0.04,rain,1022.4
20170112,53.7,76.4,0,,1022.8
20170113,56.7,86.1,0,,1029.2
20170114,52.2,91.5,0.02,rain,1028.1
20170115,54,93,0.06,rain,1024.3
20170116,50.3,91,0,,1023.3
20170117,53.9,84.5,0,,1017.8
20170118,51.1,69.4,0.07,rain,1017.6
20170119,48.3,54,0,,1015.6
20170120,50.1,85.1,0.14,rain,1008.5
20170121,46.3,96.2,0.01,rain,1007.4
20170122,50.6,92.4,0.42,rain,997
20170123,45.8,93.8,0.84,rain,991.8
20170124,40.1,88.9,0.05,rain,1008
20170125,48.8,46.5,0,,1009.1
20170126,42.8,65,0.03,rain,1008.5
20170127,29.8,66.7,0,,1014.7
20170128,32.6,52.4,0,,1012.4
20170129,33.4,66.8,0,,1009.3
20170130,28.1,60,0,,1015.4
20170131,43.8,44,0,,1013.6
20170201,45.2,58.1,0,,1016.2
20170202,43.7,58,0,,1021.4
20170203,33.8,49.6,0,,1024.4
20170204,26.9,34.1,0,,1028.2
20170205,36.9,61.6,0,,1020.5
20170206,45.3,62.6,0,,1020.1
20170207,51.1,73.6,0,,1010.1
20170208,51.8,80.9,0.11,rain,1005.9
20170209,32.3,69.4,0.22,rain,1017.7
20170210,31.8,44.2,0,,1025.4
20170211,52.7,61.2,0,,1018.8
20170212,59.7,65.9,0.08,rain,1014
20170213,39.3,38.1,0,,1021.8
20170214,38.8,51.1,0,,1014.4
20170215,37,70.4,0.27,"rain,snow",1006.3
20170216,32.9,48.3,0,,1013.1
20170217,45,40.9,0,,1014.4
20170218,49,45.3,0,,1013.6
20170219,47.2,80.3,0,,1017.7
20170220,49.7,60.7,0,,1021.3
20170221,47.9,69.3,0,,1017.8
20170222,49,93.5,0.19,rain,1013
20170223,51.6,86,0,,1010.9
20170224,54.2,75.8,0,,1008.2
20170225,49.8,58.3,0.02,rain,1007.2
20170226,32.9,46,0,,1021.7
20170227,40.1,51.2,0,,1024.5
20170228,47.9,77.2,0.05,rain,1021.2
20170301,57.1,79.6,0.44,rain,1011.2
20170302,38.6,46.5,0,,1020.8
20170303,33.2,47.3,0,,1030.2
20170304,34.9,42.9,0,,1034.1
20170305,38.3,55.8,0,,1030.7
20170306,44.6,72.2,0,,1026.7
20170307,52.4,79.1,0.04,rain,1020.1
20170308,48.4,46.2,0,,1024
20170309,49.1,38,0,,1021.7
20170310,41.8,60.3,0.21,rain,1017.3
20170311,32.8,37.4,0,,1024.9
20170312,34.5,44.4,0,,1025.2
