datetime,temp,humidity,precip,preciptype,sealevelpressure
20161104,55.8,61,0.02,rain,1024.5
20161105,45.6,64.5,0,,
20161106,45.8,61.2,0,,1027.7
20161107,45.7,63.6,0,,
20161108,47,62.1,0,,
20161109,46.4,65.5,0,,
20161110,45.3,52.1,0,,
20161111,47.9,49.5,0,,1016.3
20161112,38.2,72.4,0,,
20161113,38.7,61.4,0,,
20161114,44.4,55.7,0,,
20161115,43.4,63.6,0,,
20161116,48.8,61.3,0,,1012.4
20161117,51.6,53.7,0,,1019.3
20161118,50.9,58.5,0,,
20161119,38.5,71.9,0,,1014.4
20161120,32.1,50.4,0,,1021.6
20161121,32.4,42.2,0,,
20161122,37.4,37.7,0,,1024.2
20161123,41.4,46.9,0,,
20161124,50.7,79.8,0.02,rain,
20161125,47.2,80.7,0,,
20161126,37.7,70.1,0,,1026
20161127,37.2,54.6,0,,
20161128,43,60.9,0.01,rain,1010.1
20161129,54.9,86.7,1.48,rain,
20161130,56.9,91.8,1.09,rain,1002.1
20161201,40.9,67.2,0.01,rain,1014.8
20161202,37.3,62.9,0,,1019.7
20161203,35.7,68.9,0,,1025.4
20161204,37.7,92.7,0.49,"rain,snow",
20161205,45.9,89.2,0.12,rain,1014.5
20161206,41.8,96.5,0.57,rain,1008.3
20161207,43.6,72.6,0,,1016.7
20161208,34.8,56.9,0,,1022
20161209,23,62.9,0,,1030.8
20161210,23.6,58.1,0,,1033
20161211,33.6,56.9,0,,1024.7
20161212,45.8,85.8,0.27,rain,1016.1
20161213,39.9,90.5,0.04,rain,1017
20161214,36.6,81.3,0,,1018.9
20161215,23.9,48.9,0,,1024.4
20161216,21.3,46,0,,1024.4
20161217,47.5,77.4,0.01,rain,1013.9
20161218,46.7,92.9,0.13,rain,1018.6
20161219,33.1,86.7,0,,1034.3
20161220,33.5,72.7,0,,1030.3
20161221,40.4,34.5,0,,1025
20161222,43.3,48,0,,1022.8
20161223,40,48.5,0,,1026.8
20161224,49.6,87.1,0.21,rain,1023.5
20161225,51,98.7,0.08,rain,1027.3
20161226,49.9,92.7,0.01,rain,1027.3
20161227,50.3,92,0.26,rain,1020.4
20161228,40.9,62.1,0,,1022.2
20161229,41.4,60.9,0.19,rain,1013.7
20161230,29.5,60,0.01,"rain,snow",
20161231,32,56.1,0,,1016.6
