datetime,temp,humidity,precip,preciptype,sealevelpressure
20161104,55.3,59.7,0.02,rain,
20161105,44.8,64.3,0,,
20161106,44,64,0,,
20161107,43,68.9,0,,
20161108,45.6,64,0,,
20161109,45.7,64.4,0,,
20161110,45,51,0,,
20161111,48.1,47.8,0,,
20161112,36.4,77.3,0,,
20161113,37.1,66.9,0,,
20161114,43.7,57.2,0,,
20161115,42.5,64.9,0,,
20161116,48.4,60.1,0,,1012.5
20161117,51.4,51.7,0,,1020.2
20161118,49.3,61.1,0,,
20161119,36.6,74.7,0,,
20161120,31,51.2,0,,
20161121,32.2,41.5,0,,
20161122,37.5,35.6,0,,1025.3
20161123,39.5,50.4,0,,
20161124,50.2,80.5,0.03,rain,
20161125,45.6,81.4,0,,
20161126,37.4,69.8,0,,
20161127,36.6,54.5,0,,
20161128,40.4,65.1,0.02,rain,
20161129,53.5,93.1,1.98,rain,
20161130,56.6,92.1,1.07,rain,1001.3
20161201,40,67.4,0.01,rain,1007.1
20161202,36.9,60.5,0,,
20161203,35.3,66.9,0,,
20161204,36.4,94.1,0.62,"rain,snow",
20161205,45,90.9,0.18,rain,
20161206,40,99.2,0.51,"rain,snow",
20161207,43.3,72.7,0,,
20161208,33.4,59.4,0,,
20161209,21.6,63.6,0,,
20161210,23.3,54.2,0,,
20161211,31.5,60.3,0,,
20161212,45,85.3,0.16,rain,
20161213,38.6,90.3,0,,
20161214,35.6,81.3,0,,
20161215,22.6,49.6,0,,
20161216,19,46.7,0,,
20161217,49,78.4,0,,
20161218,45.7,97.6,0.08,rain,
20161219,33,89,0,,
20161220,33.4,70.6,0,,
20161221,41.5,25.9,0,,
20161222,42.8,44.5,0,,
20161223,37.7,51.7,0,,
20161224,49.7,87.7,0.17,rain,
20161225,49.7,99.7,0.07,rain,
20161226,47,98.9,0.01,rain,
20161227,49.7,92.1,0.08,rain,
20161228,40.7,60.3,0,,
20161229,40.8,59.9,0.21,rain,
20161230,28.8,59.4,0.01,snow,
20161231,31.1,56.6,0,,
20170101,42.5,83.6,0.02,rain,
20170102,44.5,99.1,0.44,rain,
20170103,48.3,94.2,0.28,rain,
20170104,39.5,70.8,0.03,rain,
20170105,30.1,52.7,0,,
20170106,26.1,85.9,0.03,snow,
20170107,15.8,77.6,0.14,snow,
20170108,9.3,65.6,0,,
20170109,17.9,58.2,0,,
20170110,29.9,55.2,0,,
20170111,42.8,90.6,0.01,rain,
20170112,52.2,78.2,0,,
20170113,55.9,86.1,0,,
20170114,50.6,91.5,0.03,rain,
20170115,53.1,93.8,0.07,rain,
20170116,48.5,94,0,,
20170117,53.4,83.3,0.02,rain,
20170118,50.2,69.6,0.08,rain,
20170119,48.2,50.4,0,,
20170120,48.6,86,0.16,rain,
20170121,44.9,97.6,0.02,rain,
20170122,49,96.7,0.57,rain,
20170123,44.4,95,1.05,rain,
20170124,39,91.2,0.09,rain,
20170125,49.5,42.3,0,,
20170126,41.7,65.1,0.03,rain,
20170127,28.4,68.7,0,,
20170128,31.4,52.5,0,,
20170129,32.2,67.3,0.01,snow,
20170130,27,60.2,0.03,snow,
20170131,44.1,41.6,0,,
20170201,44.6,58.4,0,,
20170202,42.9,58.3,0,,
20170203,33.2,49.6,0,,
20170204,26.1,32.9,0,,
20170205,36.7,61,0,,
20170206,45.8,59.7,0,,
20170207,50.4,72.5,0,,
20170208,51.3,79.6,0.11,rain,
20170209,31.1,71.4,0.26,rain,
20170210,31.1,42.9,0,,
20170211,53.8,59,0,,
20170212,59.2,65,0.12,rain,
20170213,38.4,38.2,0,,
20170214,38.4,49.7,0,,
20170215,36,71.2,0.33,"rain,snow",
20170216,32,48.4,0,,
20170217,45.3,38,0,,
20170218,49.5,42,0,,
20170219,46.6,80.3,0,,
20170220,49.6,59.2,0,,
20170221,45.7,72.8,0,,
20170222,47.7,95.3,0.25,rain,
20170223,50.3,87.7,0,,
20170224,52.6,77.9,0,,
20170225,49,58.2,0.02,rain,
20170226,31.9,46,0,,
20170227,38.8,52.2,0,,
20170228,46.8,77.7,0.04,rain,
20170301,56.8,78.6,0.46,rain,
20170302,37.4,47.2,0,,
20170303,32.3,47.1,0,,
20170304,34.6,40.6,0,,
20170305,36.9,57.1,0,,
20170306,43,75.1,0,,
20170307,51.1,81.6,0.03,rain,
20170308,47.6,45,0.02,rain,
20170309,48.8,36.4,0,,
20170310,40.6,60.6,0.24,rain,
20170311,31.9,37.2,0,,
20170312,33.8,45.2,0,,
20170313,31.7,74.8,0.02,"rain,snow",
20170314,28.8,81.4,0.1,"rain,snow",
20170315,18.4,53.7,0,,
20170316,25.7,43.9,0,,
20170317,35.4,53.1,0.1,rain,
20170318,48.7,70.5,0.38,rain,
20170319,35.9,62.3,0,,
20170320,45.3,50.7,0,,
20170321,57.8,64.1,0.03,rain,
20170322,46.1,42.6,0,,
20170323,37.9,48.2,0,,
20170324,49.8,53.5,0,,
20170325,56.2,62.7,0,,
20170326,54.3,87.3,0.24,rain,
20170327,58.2,84.8,0.57,rain,
20170328,54.3,83.2,0.26,rain,
20170329,56.3,70.7,0,,
20170330,51.5,95,0.18,rain,
20170331,52.8,81.9,2.08,rain,
20170401,48.2,72.2,0,,
20170402,51.4,67.6,0,,
20170403,51,93.4,1.01,rain,
20170404,60.1,60.8,0,,
20170405,52.1,84.7,0.02,rain,
20170406,46,78.1,0.35,rain,
20170407,40.4,52.2,0,,
20170408,44.8,41.8,0,,
20170409,49.4,46.9,0,,
20170410,58.5,43.5,0,,
20170411,60.5,56.9,0,,
20170412,61.7,55.9,0,,
20170413,57.2,57.7,0,,
20170414,59.6,67.3,0,,
20170415,60.8,64.1,0.04,rain,
20170416,63.3,59,0,,
20170417,59.9,71.6,0,,
20170418,55.9,81.5,0.09,rain,
20170419,54.1,96,0.14,rain,
20170420,61.4,76.7,0,,
20170421,61.9,84.5,0.44,rain,
20170422,62.4,81.3,0.51,rain,
20170423,46.9,98.9,1.51,rain,
20170424,48.9,97.2,0.76,rain,
20170425,55.2,90.8,0.27,rain,
20170426,60.4,82.6,0,,
20170427,60.2,87.1,0.03,rain,
20170428,63.6,79.4,0.01,rain,
20170429,70.5,75.8,0.03,rain,
20170430,69.8,71.3,0,,
20170501,66.7,79.9,1.27,rain,
20170502,60,44.5,0,,
20170503,57.2,57.1,0,,
20170504,58.2,76.9,1.17,rain,
20170505,54.2,85.8,1.12,rain,
20170506,43.5,80.9,0,,
20170507,49,57.3,0,,
20170508,53.3,44,0,,
20170509,59.2,76.5,0.26,rain,
20170510,68.4,58.7,0,,
20170511,68.5,61.7,0,,
20170512,56.5,96.3,0.44,rain,
20170513,57.1,76.2,0.01,rain,
20170514,59.3,63.9,0,,
20170515,65.1,61.5,0,,
20170516,66.3,67.9,0,,
20170517,69.1,65.6,0,,
20170518,68.6,72.4,0.16,rain,
20170519,67,84.7,0.02,rain,
20170520,69.7,70.8,0,,
20170521,62.2,94.9,0.5,rain,
20170522,64.5,83.2,0.04,rain,
20170523,59.4,98.2,0.71,rain,
20170524,58,97.4,1.14,rain,
20170525,54.9,79.8,0.02,rain,
20170526,62,64.1,0,,
20170527,66.9,71,0.17,rain,
20170528,64.8,77.4,0.33,rain,
20170529,65.9,72.5,0,,
20170530,66.1,71.1,0,,
20170531,66.1,62.7,0,,
20170601,65,65.8,0,,
20170602,66,64,0,,
20170603,65.6,60.6,0,,
20170604,64.7,82.6,0.53,rain,
20170605,66,89.2,0.12,rain,
20170606,66.5,68.9,0,,
20170607,59.4,68.6,0,,
20170608,58.4,80.6,0,,
20170609,61.5,71.4,0,,
20170610,65.6,68.7,0,,
20170611,68.4,67.9,0,,
20170612,69.5,74.7,0,,
20170613,70,80,0,,
20170614,69.8,78.9,0,,
20170615,70.1,80.9,0,,
20170616,67.4,89.7,0.01,rain,
20170617,68.8,87.3,0.01,rain,
20170618,72.2,77.7,0,,
20170619,70.5,76.3,0,,
20170620,67.7,73.3,0,,
20170621,68.6,76.2,0,,
20170622,68,91.1,0,,
20170623,75.7,77.6,0.03,rain,
20170624,72.3,80.5,0,,
20170625,67.4,71.6,0,,
20170626,65,63.9,0,,
20170627,64.4,67.4,0,,
20170628,64.6,69,0,,
20170629,70.3,70.9,0.01,rain,
