datetime,precip,level,gauge_ht
20161104,0.07,33.80,1.37
20161105,0.00,30.00,1.33
20161106,0.00,28.40,1.32
20161107,0.00,27.70,1.31
20161108,0.00,27.40,1.31
20161109,0.00,27.30,1.31
20161110,0.00,27.10,1.31
20161111,0.00,26.40,1.30
20161112,0.00,26.20,1.30
20161113,0.00,26.10,1.30
20161114,0.00,26.40,1.30
20161115,0.00,25.80,1.30
20161116,0.00,26.00,1.30
20161117,0.00,26.20,1.30
20161118,0.00,26.20,1.30
20161119,0.01,25.60,1.30
20161120,0.00,24.40,1.28
20161121,0.00,23.80,1.28
20161122,0.00,23.80,1.28
20161123,0.00,24.00,1.28
20161124,0.07,25.90,1.30
20161125,0.00,26.20,1.30
20161126,0.00,25.20,1.29
20161127,0.00,24.70,1.29
20161128,0.01,24.80,1.29
20161129,0.86,137.00,1.84
20161130,0.80,120.00,1.84
20161201,0.00,141.00,1.93
20161202,0.00,63.20,1.57
20161203,0.00,47.60,1.47
20161204,0.73,71.20,1.59
20161205,0.19,128.00,1.89
20161206,0.34,179.00,2.07
20161207,0.00,166.00,2.04
20161208,0.00,98.50,1.75
20161209,0.00,74.30,1.63
20161210,0.00,62.50,1.58
20161211,0.00,57.30,1.57
20161212,0.50,75.40,1.63
20161213,0.06,74.90,1.63
20161214,0.01,64.60,1.58
20161215,0.01,56.60,1.53
20161216,0.00,51.10,1.58
20161217,0.01,51.10,1.52
20161218,0.20,54.00,1.51
20161219,0.00,52.00,1.50
20161220,0.00,47.60,1.47
20161221,0.00,45.40,1.46
20161222,0.00,45.10,1.45
20161223,0.00,42.60,1.44
20161224,0.30,50.10,1.49
20161225,0.08,56.40,1.53
20161226,0.01,53.90,1.51
20161227,0.21,55.10,1.52
20161228,0.00,53.80,1.51
20161229,0.50,85.70,1.69
20161230,0.00,75.40,1.64
20161231,0.00,62.40,1.56
20170101,0.04,58.80,1.54
20170102,0.18,77.00,1.64
20170103,0.32,122.00,1.86
20170104,0.10,139.00,1.94
20170105,0.00,111.00,1.82
20170106,,94.80,1.74
20170107,,89.10,1.71
20170108,,64.40,2.03
20170109,,69.50,1.99
20170110,,76.40,1.71
20170111,,86.30,1.69
20170112,0.00,109.00,1.80
20170113,0.04,99.40,1.76
20170114,0.05,92.30,1.72
20170115,0.20,110.00,1.81
20170116,0.00,103.00,1.78
20170117,0.02,93.90,1.73
20170118,0.22,102.00,1.77
20170119,0.00,91.20,1.72
20170120,0.25,98.50,1.75
20170121,0.02,94.30,1.73
20170122,0.36,91.40,1.72
20170123,1.26,686.00,3.47
20170124,0.21,588.00,3.32
20170125,0.00,367.00,2.73
20170126,0.08,256.00,2.38
20170127,0.00,193.00,2.15
20170128,0.00,160.00,2.02
20170129,,140.00,1.94
20170130,,130.00,1.90
20170131,,118.00,1.84
20170201,0.00,113.00,1.82
20170202,0.00,105.00,1.78
20170203,0.00,97.20,1.75
20170204,0.00,87.90,1.70
20170205,0.00,86.40,1.69
20170206,0.00,83.30,1.68
20170207,0.00,81.40,1.67
20170208,0.42,79.60,1.66
20170209,0.23,128.00,1.89
20170210,0.02,98.20,1.75
20170211,0.00,91.70,1.72
20170212,0.27,94.00,1.73
20170213,0.00,93.30,1.73
20170214,0.03,86.10,1.69
20170215,0.38,111.00,1.81
20170216,0.00,104.00,1.78
20170217,0.00,92.70,1.73
20170218,0.00,88.80,1.71
20170219,0.00,86.50,1.69
20170220,0.00,81.90,1.67
20170221,0.00,78.00,1.65
20170222,0.22,89.00,1.71
20170223,0.01,91.20,1.72
20170224,0.00,83.30,1.68
20170225,0.33,90.20,1.71
20170226,0.00,82.10,1.67
20170227,0.00,77.40,1.65
20170228,0.13,78.20,1.65
20170301,0.74,110.00,1.80
20170302,0.00,157.00,2.01
20170303,0.00,123.00,1.87
20170304,0.00,107.00,1.80
20170305,0.00,98.60,1.75
